"Time"," I38 RELAY "," I38 MAIN "," I38 SW_PRE "," I38 B_1 "," I38 B_2 "," I38 ALARMA "," I39 RELAY "," I39 MAIN "," I39 SW_PRE "," I39 B_1 "," I39 B_2 "," I39 ALARMA "," I40 RELAY "," I40 MAIN "," I40 SW_PRE "," I40 B_1 "," I40 B_2 "," I40 ALARMA "," I41 RELAY "," I41 MAIN "," I41 SW_PRE "," I41 B_1 "," I41 B_2 "," I41 ALARMA "," I42 RELAY "," I42 MAIN "," I42 SW_PRE "," I42 B_1 "," I42 B_2 "," I42 ALARMA "," I43 RELAY "," I43 MAIN "," I43 SW_PRE "," I43 B_1 "," I43 B_2 "," I43 ALARMA "," I44 RELAY "," I44 MAIN "," I44 SW_PRE "," I44 B_1 "," I44 B_2 "," I44 ALARMA "," I47 RELAY "," I47 MAIN "," I47 SW_PRE "," I47 B_1 "," I47 B_2 "," I47 ALARMA "," I48 RELAY "," I48 MAIN "," I48 SW_PRE "," I48 B_1 "," I48 B_2 "," I48 ALARMA "
2026-08-20 19:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-20 22:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-21 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-21 04:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-21 07:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-21 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-21 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-21 16:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-21 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-21 22:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-22 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-22 04:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-22 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-22 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-22 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-22 16:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-22 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-22 22:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-23 01:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,OFF
2026-08-23 04:00:00,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-23 07:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-23 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,OFF,OFF,OFF,ON,OFF,OFF
2026-08-23 13:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-23 16:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-23 19:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-23 22:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-24 01:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-24 04:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-24 07:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-24 10:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-24 13:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,,,,,,
2026-08-24 16:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,OFF,OFF,OFF,ON,OFF,OFF
2026-08-24 19:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,OFF
2026-08-24 22:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,OFF
2026-08-25 01:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-25 04:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-25 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-25 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-25 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-25 16:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-25 19:00:00,ON,ON,ON,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-25 22:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-26 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-26 04:00:00,ON,ON,OFF,OFF,ON,NG,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-26 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-08-26 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG
2026-08-26 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-26 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-26 19:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-26 22:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-27 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,OFF,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 04:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,OFF,NG,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 10:00:00,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,NG,ON,ON,OFF,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 19:00:00,ON,ON,ON,OFF,ON,NORMAL,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-27 22:00:00,ON,ON,OFF,OFF,ON,NG,OFF,OFF,OFF,ON,OFF,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-28 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-28 04:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,,,,,,,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-28 07:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-28 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-28 13:00:00,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-28 16:00:00,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-28 19:00:00,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-28 22:00:00,ON,ON,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NG
2026-08-29 01:00:00,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-29 04:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-29 07:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-29 10:00:00,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-29 13:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NG,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NG,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-29 16:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL
2026-08-29 19:00:00,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-29 22:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,ON,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,ON,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
2026-08-30 01:00:00,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL,ON,ON,OFF,OFF,ON,NORMAL,,,,,,,ON,ON,OFF,OFF,ON,NORMAL
